request_id,model,backend,input_tokens,output_tokens,concurrency,ttft_ms,tpot_ms,total_latency_ms,token_count_method,completed,error,started_offset_ms,completed_offset_ms,scheduled_offset_ms,dispatch_offset_ms,queue_delay_ms,end_to_end_latency_ms
req-000001,qwen2.5:1.5b-instruct,ollama,377,64,1,435.56566699407995,14.805247349339345,1368.2962500024587,server_usage,True,,0.10545802069827914,1368.401708023157,0.10420801118016243,0.10545802069827914,0.0012500095181167126,1368.2975000119768
req-000002,qwen2.5:1.5b-instruct,ollama,380,64,1,290.51695798989385,13.418249334097796,1135.866666038055,server_usage,True,,1368.4982500271872,2504.364916065242,1368.496667011641,1368.4982500271872,0.0015830155462026596,1135.8682490536012
req-000003,qwen2.5:1.5b-instruct,ollama,378,64,1,299.18012500274926,12.038790333520858,1057.6239160145633,server_usage,True,,2504.791917046532,3562.4158330610953,2504.7610829933546,2504.791917046532,0.030834053177386522,1057.6547500677407
req-000004,qwen2.5:1.5b-instruct,ollama,374,64,1,280.8352910215035,11.96879300007981,1034.8692500265315,server_usage,True,,3562.6871249987744,4597.556375025306,3562.6696670078672,3562.6871249987744,0.017457990907132626,1034.8867080174387
req-000005,qwen2.5:1.5b-instruct,ollama,374,64,1,286.757875001058,10.09491930109641,922.7377909701318,server_usage,True,,4597.8137500351295,5520.551541005261,4597.803292039316,4597.8137500351295,0.010457995813339949,922.7482489659451
req-000006,qwen2.5:1.5b-instruct,ollama,382,64,1,268.62045901361853,9.649562824975758,876.5429169870913,server_usage,True,,5520.6787080387585,6397.22162502585,5520.673583028838,5520.6787080387585,0.005125009920448065,876.5480419970118
req-000007,qwen2.5:1.5b-instruct,ollama,379,64,1,274.6692080399953,9.973189158786443,902.9801250435412,server_usage,True,,6397.297916992102,7300.278042035643,6397.29662501486,6397.297916992102,0.0012919772416353226,902.9814170207828
req-000008,qwen2.5:1.5b-instruct,ollama,376,64,1,267.3705000197515,9.917738762432856,892.1880420530215,server_usage,True,,7300.358000036795,8192.546042089816,7300.352999998722,7300.358000036795,0.00500003807246685,892.193042091094
req-000009,qwen2.5:1.5b-instruct,ollama,377,64,1,265.54587500868365,10.417670634249964,921.8591249664314,server_usage,True,,8192.627958022058,9114.48708298849,8192.626583040692,8192.627958022058,0.001374981366097927,921.8604999477975
req-000010,qwen2.5:1.5b-instruct,ollama,378,64,1,267.8216669592075,12.836110444613807,1076.4966249698773,server_usage,True,,9114.59916702006,10191.095791989937,9114.595999999437,9114.59916702006,0.003167020622640848,1076.4997919905
req-000011,qwen2.5:1.5b-instruct,ollama,376,64,1,311.286750016734,11.72834655476941,1050.1725829672068,server_usage,True,,10191.159292007796,11241.331874975003,10191.157833032776,10191.159292007796,0.0014589750207960606,1050.1740419422276
